acorn_category,acorn_group,acorn_group_detail
Affluent Achievers,A,Lavish Lifestyles
Affluent Achievers,B,Executive Wealth
Affluent Achievers,C,Mature Money
Rising Prosperity,D,City Sophisticates
Rising Prosperity,E,Carrer Climbers
Comfortable Communities,F,Countrysude Communities
Comfortable Communities,G,Successfull Suburbs
Comfortable Communities,H,Steady Neighbourhoods
Comfortable Communities,I,Comfortable Seniors
Comfortable Communities,J,Starting Out
Financially Stretched,K,Student Life
Financially Stretched,L,Modest Means
Financially Stretched,M,Striving Families
Financially Stretched,N,Poorer Pensioners
Urban Adversity,O,Young Hardship
Urban Adversity,P,Struggling Estates
Urban Adversity,Q,Difficult Circumstances
Urban Adversity,R,Not Private Households
